ts_utc,credits_used,credits_remaining
2026-08-01T17:10:54Z,1,1082
2026-08-01T17:34:52Z,1,1064
2026-08-01T21:10:40Z,1,1047
2026-08-02T14:55:02Z,1,1026
2026-08-02T21:10:59Z,1,1011
2026-08-03T15:31:05Z,1,1007
2026-08-03T21:16:09Z,1,1003
2026-08-04T15:23:03Z,1,988
2026-08-04T21:18:02Z,1,973
2026-08-05T15:21:14Z,1,954
2026-08-05T22:00:33Z,1,934
2026-08-07T00:59:21Z,1,923
2026-08-07T15:27:06Z,1,914
2026-08-07T21:24:01Z,1,905
2026-08-08T15:00:21Z,1,884
2026-08-08T21:14:50Z,1,864
2026-08-09T15:01:59Z,1,848
2026-08-09T21:17:06Z,1,839
2026-08-10T15:31:02Z,1,834
2026-08-10T21:27:47Z,1,829
2026-08-11T15:30:02Z,1,813
2026-08-11T21:31:38Z,1,797
2026-08-12T15:30:04Z,1,779
2026-08-12T21:30:31Z,1,760
2026-08-13T15:31:10Z,1,751
2026-08-13T21:31:18Z,1,744
2026-08-14T15:22:31Z,1,733
2026-08-14T21:11:29Z,1,722
2026-08-15T14:50:10Z,1,703
2026-08-15T21:03:04Z,1,684
2026-08-16T14:50:16Z,1,666
2026-08-16T21:01:53Z,3,663
